10,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,284203750000.0,268696750000.0,97724004251.8602,127586973492.17664,164657930452.78662,198737095012.28165,232557260817.3077,287530508430.568,361558037110.41925,332976484577.6189,423627422092.4897,530163281574.65753,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557531376217.9669,643628665302.1549,524819742918.6688,452818426182.658,389591035520.67505
11,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563668.8500648,2118467913.378734,2376335048.399756,2807061008.6908445,3576615240.4161587,4900469950.090335,6384451606.1420965,9206301700.396194,11662040713.875309,8647936747.98704,9260284937.797813,10142111334.496105,10619320048.585737,11121465767.406683,11609512939.75425,10553337672.987204,10546135160.030985,11527458565.73342,12457941907.033281,13619291361.281445,12641209802.111986
12,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,648000000.0,709000000.0
13,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,826370370.3703703,800481481.4814814,814381481.4814814,856396296.2962962,919729629.6296296,1022962962.9629629,1157662962.9629629,1312759259.2592592,1370070370.3703704,1228329629.6296296,1148700000.0,1137637037.037037,1199948148.148148,1181448148.148148,1249733333.3333333,1336692592.5925925,1436585185.1851852,1467977777.7777777,1605944444.4444444,1687533333.3333333,1370281481.4814813
14,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,415576210513.09424,379083932596.3293,395342716617.8317,467390797903.3197,614166310997.297,695075176665.1631,747556154537.2866,853955405511.5018,1055127126230.9758,928042998085.7017,1147589183475.7334,1397907916789.9043,1546508558465.663,1576335282651.072,1467504819608.9233,1350534154255.7617,1206685107002.4749,1326882872011.4639,1428529571351.058,1391952510370.4763,1327836171068.5078
15,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,197289625479.9063,197508773215.3231,214394866675.2396,262273631180.05435,301457562038.5413,316092273276.01544,336280064332.4113,389185571506.05225,432051935642.9452,401758735822.2107,392275107258.6674,431685217367.51056,409401816050.5313,430190979705.962,442584815286.03375,381971148530.5428,395837353031.499,417261151844.9772,455168151938.94086,445011872704.46985,433258467676.51483
16,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272798390.701833,5707720390.851498,6235856819.584448,7276753894.715406,8680370408.05943,13245716099.005713,20982986344.302666,33050343782.7759,48852482960.077896,44291490420.50262,52909294791.92624,65951627200.202614,69683935845.21385,74164435946.46272,75244294275.14981,53074370486.043335,37867518957.19747,40865558912.3867,47112941176.47059,48174235294.117645,42693000000.0
17,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.8831366,876794723.0685855,825394490.1591105,784654423.6204764,915257323.3960996,1117113045.6522198,1273375020.2686229,1356199364.858818,1611835901.906298,1781455092.0711389,2032135246.5000358,2235820867.8274293,2333341374.896569,2451606684.317083,2705783272.0744286,3104003611.429569,2639321196.4652777,2712324087.2788987,2660123624.277285,2581268125.7891684,2780510624.6418447
18,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,236792460312.4711,236746141604.37036,258383599375.17694,318082528506.5876,369214712443.20557,385714762230.03876,408259840868.82294,470922156309.4525,517328087920.078,483254171097.8122,481420882905.0009,523330354138.1333,496152879924.7267,521791015247.0603,535390200131.0177,462335574841.48413,476062757356.92725,502764720556.3538,543347368038.35254,535376258146.66583,521676942134.6318
19,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3519991326.484636,3666222600.09828,4194342849.4657445,5349258334.31914,6190270756.13743,6567654493.508306,7034111651.496404,8169048690.05254,9787735426.008968,9738626993.276962,9535344283.47295,10693321953.635511,11141358945.134943,12517845732.209541,13284528654.057367,11388160958.248966,11821066152.59795,12701654743.214926,14262407011.476353,14391686632.782114,15651545331.540379
20,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2968369991.4672885,3190371050.455238,3622350203.9459534,4740768355.229736,5451688868.429736,6146352742.033128,6547420133.69942,7625723123.549387,9451436358.96861,9450697335.535646,10109618964.284754,12080296644.0643,12561016091.467287,13444301139.1384,13943016923.901682,11832159275.60297,12833363370.174025,14106956830.085659,15890065019.76338,16178162030.069414,17933606353.177456
21,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787318.62453,53991289844.32913,54724081490.510185,60158929188.255615,65108544250.04247,69442943089.4309,71819083683.74033,79611888213.14798,91631278239.32372,102477791472.39049,115279077465.22643,128637938711.3856,133355749482.47754,149990451022.28983,172885454931.4531,195078678697.22955,265236247989.15454,293754646182.38947,321379023557.4616,351238438542.79224,373902134700.4096
22,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,13245833843.545425,14183497963.107063,16402846413.095812,21144983551.682346,26157894736.842106,29869283400.038116,34379808888.60386,44405101469.55913,54438966419.863884,52023504656.287766,50682061053.20157,57678241023.817986,54300857424.44152,55810138436.482086,57082011260.3446,50781996712.76355,53953897624.43439,59199447421.49236,66363422450.21123,68915416141.95764,69889347433.43239
